root	0
daemon	1
bin	2
sys	3
sync	4
games	5
man	6
lp	7
mail	8
news	9
uucp	10
proxy	13
www-data	33
backup	34
list	38
irc	39
gnats	41
nobody	65534
_apt	100
systemd-timesync	101
systemd-network	102
systemd-resolve	103
dnsmasq	104
ntp	105
messagebus	106
tss	107
_rpc	108
statd	109
usbmux	110
saned	111
nm-openvpn	112
hplip	113
colord	114
nm-openconnect	115
pulse	116
avahi	117
lightdm	118
_flatpak	119
debian-tor	120
geoclue	121
privoxy	122
ice	123
mumble-server	124
sshd	125
clamav	126
